user_id,user_unique_id,nickname,followers_count,following_count,heart_count,video_count,comment_count,unique_video_count,duplicate_ratio,avg_time_between_comments,account_age_days,has_profile_picture,bio_length,verified,first_seen,last_seen,private_account,friend_count
7093712679958168577,hoaiquyen293,HoaiHoai 🖤,400,271,170,0,1,1,0.0,0,0,True,0,False,2025-05-27 21:23:48,2025-05-27 21:23:48,True,1
7213015846028379137,buithanhha1908,hà bùi_(. ❛ ᴗ ❛.),44,797,147,12,1,1,0.0,0,0,True,0,False,2025-05-27 19:03:27,2025-05-27 19:03:27,False,19
6771631258180142082,nnt.034,.,562,46,16400,0,1,1,0.0,0,0,True,0,False,2025-05-27 17:05:18,2025-05-27 17:05:18,False,45
7436233094329926674,havotramy_,:)))),5,76,0,0,1,1,0.0,0,0,True,0,False,2025-05-27 18:08:29,2025-05-27 18:08:29,True,5
6781800342097085441,_my_110513,<~°•♪mờ_y♪•°~>,241,445,166,0,1,1,0.0,0,0,True,0,False,2025-05-27 17:40:05,2025-05-27 17:40:05,True,56
7209244868983473158,cherry_2620,Tina_🔮,8,19,0,0,1,1,0.0,0,0,True,0,False,2025-05-27 20:57:44,2025-05-27 20:57:44,True,7
7304964769549796370,_maiiuoi5,m,425,586,8272,2,1,1,0.0,0,0,True,4,False,2025-05-29 07:16:41,2025-05-29 07:16:41,False,316
7419902916356260872,v.phngg7,Tí con 🍀,13,270,19,0,1,1,0.0,0,0,True,0,False,2025-05-27 15:11:07,2025-05-27 15:11:07,True,2
7250686472071185413,het_tien_nen_an_rau,THÈMĂNRAUWÁ🤑,255,293,15900,43,1,1,0.0,0,0,True,26,False,2025-05-27 16:59:56,2025-05-27 16:59:56,False,17
6856651065845613569,tramie.zy,Amiee🪭,75,197,3555,17,1,1,0.0,0,0,True,0,False,2025-05-27 16:53:14,2025-05-27 16:53:14,False,41
7319525452770755585,mphewn_,người Việt.,920,62,95900,0,1,1,0.0,0,0,True,1,False,2025-05-28 10:15:31,2025-05-28 10:15:31,False,41
6722016722158683138,maivi2208,Mai Vi,139,304,352,13,1,1,0.0,0,0,True,0,False,2025-05-27 22:17:43,2025-05-27 22:17:43,False,13
7462973049429115909,gaidepbikhung2120,Maitrang 💞💞💞💞,67,171,187,10,1,1,0.0,0,0,True,0,False,2025-05-27 22:12:23,2025-05-27 22:12:23,False,62
7491914999943857159,iamquyn,iamquyn,6,27,65,2,1,1,0.0,0,0,True,38,False,2025-05-27 21:37:38,2025-05-27 21:37:38,False,0
6557501390963474433,hoanq.liyenn,Hoàng Bảo Minh.,,,,,1,1,0.0,0,,,,,2025-05-27 21:42:42,2025-05-27 21:42:42,,
7291898170837173256,maith_uthuy,𝓜𝓪𝓲𝓣𝓱𝓾𝓣𝓱𝓾𝔂💤,,,,,1,1,0.0,0,,,,,2025-05-27 19:09:52,2025-05-27 19:09:52,,
7141321893261050906,buianhthai4,buianhthai07,60,56,1383,14,1,1,0.0,0,0,True,0,False,2025-05-23 21:20:53,2025-05-23 21:20:53,False,23
6857835345406493698,mr.dat2k,D.A.T Universe,2700000,54,96300000,627,2,1,0.0,5651.0,0,True,34,True,2025-05-23 18:56:12,2025-05-23 20:30:23,False,47
7247450375878509574,.nqm2008,nqMinh🏀,42,22,127,1,1,1,0.0,0,0,True,2,False,2025-05-23 19:03:28,2025-05-23 19:03:28,False,16
6594396064023003138,hoanghippie444,Hoàng Hippie,160500,841,2900000,447,1,1,0.0,0,0,True,34,False,2025-05-23 19:48:40,2025-05-23 19:48:40,False,42
7115061310275437594,mr.den2k,D.E.N,6098,6,95000,12,1,1,0.0,0,0,True,42,False,2025-05-23 19:55:41,2025-05-23 19:55:41,False,4
6838576308831421441,_tthawh_1,nt.,434,154,1280,1,1,1,0.0,0,0,True,0,False,2025-05-23 18:57:15,2025-05-23 18:57:15,False,89
7203527366184879130,duypkuongvu,Duy Pkuong,52400,13,1800000,294,1,1,0.0,0,0,True,0,False,2025-05-23 19:06:32,2025-05-23 19:06:32,False,0
6867766063070135297,n.v.n.com,Nguyễn Văn Trung 🍃,892,18,20,0,1,1,0.0,0,0,True,0,False,2025-05-23 18:59:45,2025-05-23 18:59:45,False,2
6555564085210726401,sdrevieww,SDigital ✔️,1566,6,1120,31,1,1,0.0,0,0,True,21,False,2025-05-23 19:44:54,2025-05-23 19:44:54,False,3
7215731434941711386,dcmhjbb0,dcmhjbb0,3731,8747,2242,17,2,1,0.0,23.0,0,True,35,False,2025-05-23 20:17:04,2025-05-23 20:17:27,False,2538
7482773879414522898,hayaoft.hoai,౨ৎɴᴀᥫᩣ,1417,4,42300,8,1,1,0.0,0,0,True,8,False,2025-05-24 09:23:07,2025-05-24 09:23:07,False,2
6899837237762343937,50kbaophong,cô độc,1090,15,1272,25,1,1,0.0,0,0,True,0,False,2025-05-24 22:38:20,2025-05-24 22:38:20,False,0
6981084938721838107,soianchay203,Sói,373,6,866,3,1,1,0.0,0,0,True,1,False,2025-05-25 19:45:51,2025-05-25 19:45:51,False,2
6832871747218998274,tuan160205,T U A N hc,63,544,231,23,1,1,0.0,0,0,True,10,False,2025-05-23 19:19:01,2025-05-23 19:19:01,False,37
7152387308955108379,vuden2007,Vũ Đen🔥,100,196,171,2,1,1,0.0,0,0,True,13,False,2025-05-23 19:39:00,2025-05-23 19:39:00,False,35
7219679545573786651,phamanhquan212,Phạm Anh Quân ✔,373,1128,1400,16,1,1,0.0,0,0,True,27,False,2025-05-24 11:50:59,2025-05-24 11:50:59,False,313
7095178011021083674,mesigoat06,￼,1283,135,40900,3,1,1,0.0,0,0,True,17,False,2025-05-28 18:52:23,2025-05-28 18:52:23,False,75
7149825188455220250,tongvanviet01,Anh Việt,623,5136,79,0,1,1,0.0,0,0,True,0,False,2025-05-25 13:41:50,2025-05-25 13:41:50,False,603
7487609132268061702,binhnomatacc,Gia Bình,74,61,598,1,1,1,0.0,0,0,True,0,False,2025-05-25 08:53:39,2025-05-25 08:53:39,False,60
