video_id,video_description,video_hashtags,video_view_count,video_like_count,video_share_count,video_comment_count,video_author_id,video_author_nickname,video_create_time,comment_id,comment_text,comment_like_count,comment_timestamp,comment_reply_count,comment_hash,text_length,has_emoji,has_mention,has_hashtag,is_reply,user_id,user_unique_id,user_nickname,user_followers_count,user_following_count,user_video_count,user_verified,user_comment_count_in_dataset,user_duplicate_ratio,user_avg_time_between_comments
7509002805806517511,Cô gái may mắn nhất đêm đầu tiên trong concert của SOOBIN lộ diện khiến dân tình nức nở #soobin #yendan #news #amm,"soobin,yendan,news,amm",789700,45300,538,92,6562500403404324865,Kenh14.vn,2025-05-27 14:45:00,7509131814875923201,ủa z ảnh kém bme t có 2 tuổi hả=)),8,2025-05-27 21:26:41,0,535946545d7eaebf2de8258fcc5baeae,34,False,False,False,False,7365124408383570961,kittycuaanh8,thuhaaᝰ.ᐟ,34,60,1,False,1,0.0,0
7509002805806517511,Cô gái may mắn nhất đêm đầu tiên trong concert của SOOBIN lộ diện khiến dân tình nức nở #soobin #yendan #news #amm,"soobin,yendan,news,amm",789700,45300,538,92,6562500403404324865,Kenh14.vn,2025-05-27 14:45:00,7509054392890802961,Công chúa và hoàng tử đẹp đôi quá luônnnnn🥹🥹,89,2025-05-27 16:26:25,0,d6b12c9ef9ec12179062e254f9d4ab47,44,False,False,False,False,7234667574151365633,lylyh59,lyly,10,163,0,False,1,0.0,0
7509002805806517511,Cô gái may mắn nhất đêm đầu tiên trong concert của SOOBIN lộ diện khiến dân tình nức nở #soobin #yendan #news #amm,"soobin,yendan,news,amm",789700,45300,538,92,6562500403404324865,Kenh14.vn,2025-05-27 14:45:00,7509563469634388758,ý là mắc j lôi HH Thanh Thủy vô? 2 ng họ chỉ hợp tác lm MV thôi chứ có j đâu? bớt bớt lại đi,1,2025-05-29 01:21:47,0,70c55117873f72470c44afd34344b26f,92,False,False,False,False,7496970156762825750,tiramarchsookay,TiraMarchSOOKAY🍰🥭,18,88,15,False,1,0.0,0
7509002805806517511,Cô gái may mắn nhất đêm đầu tiên trong concert của SOOBIN lộ diện khiến dân tình nức nở #soobin #yendan #news #amm,"soobin,yendan,news,amm",789700,45300,538,92,6562500403404324865,Kenh14.vn,2025-05-27 14:45:00,7509101460089586452,ê sao cứ lôi thủy vào vậy,8,2025-05-27 19:28:52,0,e4d58e81b448e08ee2e2108694d667f5,25,False,False,False,False,7374818843720303622,lnhlnh150,Lnhlnh,12,31,0,False,1,0.0,0
7509002805806517511,Cô gái may mắn nhất đêm đầu tiên trong concert của SOOBIN lộ diện khiến dân tình nức nở #soobin #yendan #news #amm,"soobin,yendan,news,amm",789700,45300,538,92,6562500403404324865,Kenh14.vn,2025-05-27 14:45:00,7509135750647563026,Người yêu phải ko ạ,0,2025-05-27 21:41:55,1,70bc387994420d57beb5f3db000181cf,19,False,False,False,False,7466486576017949702,ngchnnguyn01,#𝐍𝐪丶𝐀𝐧𝐧𝐢𝐞㋰,24,194,3,False,1,0.0,0
7509002805806517511,Cô gái may mắn nhất đêm đầu tiên trong concert của SOOBIN lộ diện khiến dân tình nức nở #soobin #yendan #news #amm,"soobin,yendan,news,amm",789700,45300,538,92,6562500403404324865,Kenh14.vn,2025-05-27 14:45:00,7509101178077561608,Ê bình thường gọi là anh bây h gọi là chú vì ảnh bằng tủi mẹ tui á,1,2025-05-27 19:27:47,0,69e93de85f192b67abc6bdda33a33b99,66,False,False,False,False,7474261406930863111,mh222102,Gần m6,22,114,0,False,1,0.0,0
7509002805806517511,Cô gái may mắn nhất đêm đầu tiên trong concert của SOOBIN lộ diện khiến dân tình nức nở #soobin #yendan #news #amm,"soobin,yendan,news,amm",789700,45300,538,92,6562500403404324865,Kenh14.vn,2025-05-27 14:45:00,7509279920309666576,Đấy… nó pải như này chứ..,0,2025-05-28 07:01:46,0,2d75982690c3ea3150256792c4fef15c,25,False,False,False,False,6537440533308325889,nguyenvanhieu868,Linhhieu,209,142,9,False,1,0.0,0
7509002805806517511,Cô gái may mắn nhất đêm đầu tiên trong concert của SOOBIN lộ diện khiến dân tình nức nở #soobin #yendan #news #amm,"soobin,yendan,news,amm",789700,45300,538,92,6562500403404324865,Kenh14.vn,2025-05-27 14:45:00,7509136071470203665,xem ở đâu đc nhờ tui tìm k ra,0,2025-05-27 21:43:17,0,4d497eff042afae31e969ea223973368,29,False,False,False,False,6625472504943116290,uelm3,imuynsayhi,4211,28,5,False,1,0.0,0
7509002805806517511,Cô gái may mắn nhất đêm đầu tiên trong concert của SOOBIN lộ diện khiến dân tình nức nở #soobin #yendan #news #amm,"soobin,yendan,news,amm",789700,45300,538,92,6562500403404324865,Kenh14.vn,2025-05-27 14:45:00,7509134892535186194,kênh này bí content lắm r hả tr 🥰,0,2025-05-27 21:38:36,0,33d2bd5a1a8e222a0bb64662f2b2a2c0,33,False,False,False,False,6687854343884473346,_ngnh.mthh_,𝘸𝘰𝘰🫧,1398,92,10,False,1,0.0,0
7509002805806517511,Cô gái may mắn nhất đêm đầu tiên trong concert của SOOBIN lộ diện khiến dân tình nức nở #soobin #yendan #news #amm,"soobin,yendan,news,amm",789700,45300,538,92,6562500403404324865,Kenh14.vn,2025-05-27 14:45:00,7509083105521812242,Bả đẹp quá mê mình con gái còn mê,0,2025-05-27 18:17:39,0,55b02cc7c996945302cbb0dfd3b28a26,33,False,False,False,False,6673087970495005697,ngtrang51,Ng Trang,728,386,287,False,1,0.0,0
